Id|Codigo|Habilitado
964|17584-8|1
965|14446-2|1
966|15875-1|1
967|15995-2|1
968|16166-2|1
969|16478-1|1
970|17587-4|1
971|17767-1|1
972|17946-1|1
973|18777-1|1
974|19721-1|1
975|19721-2|1
976|19721-7|1
977|19900179-1|1
978|19900226-10|1
979|19900270-6|1
980|19900270-9|1
981|19900275-1|1
982|17141-7|1
983|17144-1|1
984|17144-6|1
985|17145-5|1
986|17279-1|1
987|1980607-1|1
988|1980690-1|1
989|1980734-1|1
990|1980745-1|1
991|19541-3|1
992|19547-4|1
993|19547-6|1
994|19605-2|1
995|19605-7|1
996|19639-2|1
997|19721-11|1
998|19763-2|1
999|13838-3|1
1000|14272-3|1
1001|14443-1|1
1002|15996-3|1
1003|16722-1|1
1004|17352-2|1
1005|17418-2|1
1006|17586-2|1
1007|17616-1|1
1008|19900278-2|1
1009|19900427-1|1
1010|19900431-1|1
1011|19900482-1|1
1012|13657-2|1
1013|13854-5|1
1014|14254-1|1
1015|14438-4|1
1016|14446-12|1
1017|16779-1|1
1018|16816-2|1
1019|17023-1|1
1020|17024-5|1
1021|17070-3|1
1022|17952-3|1
1023|18324-3|1
1024|18779-2|1
1025|18989-2|1
1026|19212-4|1
1027|18777-2|1
1028|18933-5|1
1029|18989-6|1
1030|191956779-1|1
1031|14959-1|1
1032|15679-2|1
1033|16180-3|1
1034|16205-1|1
1035|15768-1|1
1036|16178-3|1
1037|16478-8|1
1038|16777-2|1
1039|14941-2|1
1040|14962-4|1
1041|15996-2|1
1042|15996-4|1
1043|19394-1|1
1044|19605-12|1
1045|19721-5|1
1046|1980010-3|1
1047|1980018-5|1
1048|19203-1|1
1049|19391-4|1
1050|19420-1|1
1051|19509-1|1
1052|19510-3|1
1053|17583-5|1
1054|17584-1|1
1055|18635-2|1
1056|191956779-4|1
1057|16806-2|1
1058|16815-2|1
1059|17141-10|1
1060|17141-17|1
1061|17145-13|1
1062|17582-2|1
1063|17618-3|1
1064|17777-2|1
1065|18635-4|1
1066|1980019-3|1
1067|1980022-4|1
1068|1980072-1|1
1069|1980072-5|1
1070|1980366-2|1
1071|11878-1|1
1072|13053-2|1
1073|14958-12|1
1074|14958-7|1
1075|15131-1|1
1076|1980020-9|1
1077|1980026-1|1
1078|1980072-4|1
1079|1980110-16|1
1080|1980132-1|1
1081|1980762-1|1
1082|1980768-2|1
1083|1980804-2|1
1084|1980809-1|1
1085|13648-5|1
1086|13738-1|1
1087|13852-1|1
1088|14438-1|1
1089|14958-15|1
1090|16816-3|1
1091|17134-10|1
1092|17145-6|1
1093|17147-1|1
1094|17346-1|1
1095|18635-5|1
1096|18779-1|1
1097|19353-2|1
1098|19498-2|1
1099|1980039-1|1
1100|1980110-11|1
1101|1980110-13|1
1102|1980110-14|1
1103|1980110-2|1
1104|17351-2|1
1105|17352-6|1
1106|17584-2|1
1107|17618-1|1
1108|1980020-7|1
1109|1980072-3|1
1110|1980110-15|1
1111|1980110-17|1
1112|1980110-3|1
1113|1980389-14|1
1114|1980395-1|1
1115|1980397-3|1
1116|1980471-7|1
1117|17351-1|1
1118|17584-7|1
1119|18324-4|1
1120|18933-2|1
1121|17135-4|1
1122|17141-16|1
1123|17141-18|1
1124|17144-10|1
1125|17145-11|1
1126|19212-2|1
1127|19391-6|1
1128|19510-5|1
1129|19513-4|1
1130|15826-3|1
1131|16478-7|1
1132|16623-1|1
1133|17023-2|1
1134|17134-2|1
1135|1980165-2|1
1136|1980184-4|1
1137|1980184-7|1
1138|1980211-4|1
1139|15826-1|1
1140|16178-5|1
