Id|CUPS|CIE10
1432|793711|S828
1433|793712|S824
1434|793712|S826
1435|793712|S827
1436|793712|S828
1437|793713|S821
1438|793713|S822
1439|793713|S823
1440|793713|S827
1441|793713|S827
1442|793713|S828
1443|793714|S821
1444|793714|S822
1445|793714|S823
1446|793714|S827
1447|793714|S827
1448|793714|S828
1449|793715|S821
1450|793715|S822
1451|793715|S823
1452|793715|S827
1453|793715|S827
1454|793715|S828
1455|793716|S821
1456|793716|S822
1457|793716|S823
1458|793716|S827
1459|793716|S827
1460|793716|S828
1461|793717|S821
1462|793717|S822
1463|793717|S823
1464|793717|S827
1465|793717|S827
1466|793717|S828
1467|793718|S821
1468|793718|S822
1469|793718|S823
1470|793718|S827
1471|793718|S827
1472|793718|S828
1473|793719|S821
1474|793719|S822
1475|793719|S823
1476|793719|S827
1477|793719|S827
1478|793719|S828
1479|793801|S922
1480|793801|S920
1481|793801|S921
1482|793801|S927
1483|793801|S929
1484|793802|S923
1485|793802|S927
1486|793802|S929
1487|793804|S920
1488|793901|S625
1489|793901|S626
1490|793901|S627
1491|793901|S628
1492|793902|S924
1493|793902|S925
1494|793902|S927
1495|793902|S929
1496|793930|S121
1497|793932|S121
1498|793940|S120
1499|793942|S120
1500|793944|S122
1501|793944|S127
1502|793944|S128
1503|793944|S129
1504|793944|M484
1505|793944|M485
1506|793946|S122
1507|793946|S127
1508|793946|S128
1509|793946|S129
1510|793946|M484
1511|793946|M485
1512|793950|S220
1513|793950|S221
1514|793950|S320
1515|793950|S327
1516|793950|S328
1517|793950|M484
1518|793950|M485
1519|793952|S220
1520|793952|S221
1521|793952|S320
1522|793952|S327
1523|793952|S328
1524|793952|M484
1525|793952|M485
1526|796100|S422
1527|796100|S423
1528|796100|S424
1529|796100|S427
1530|796100|S428
1531|796100|S429
1532|796201|S520
1533|796201|S521
1534|796201|S522
1535|796201|S523
1536|796201|S524
1537|796201|S524
1538|796201|S526
1539|796201|S527
1540|796201|S528
1541|796201|S529
1542|796301|S620
1543|796301|S621
1544|796301|S628
1545|796301|S622
1546|796301|S623
1547|796301|S624
1548|796400|S625
1549|796400|S626
1550|796400|S627
1551|796400|S628
1552|796500|S720
1553|796500|S723
1554|796500|S724
1555|796500|S727
1556|796500|S728
1557|796500|S729
1558|796500|S827
1559|796500|S828
1560|796600|S821
1561|796600|S822
1562|796600|S823
1563|796600|S825
1564|796600|S827
1565|796600|S828
1566|796600|S824
1567|796600|S826
1568|796700|S922
1569|796800|S924
1570|796800|S925
1571|796800|S927
1572|796800|S929
1573|796902|S820
1574|862101|L051
1575|862101|L050
1576|862102|L051
1577|862102|L050
1578|862103|L051
1579|862103|L050
1580|862104|L051
1581|862104|L050
